"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2022-05-31",Bali,-9,5,9,-36,-13,9
"2022-06-01",Bali,-8,7,6,-36,-43,19
"2022-06-02",Bali,-10,6,5,-40,-13,13
"2022-06-03",Bali,-11,4,2,-46,-11,13
"2022-06-04",Bali,-9,8,-7,-39,-8,11
"2022-06-05",Bali,-13,10,-12,-43,-9,13
"2022-06-06",Bali,-9,17,3,-37,-25,14
"2022-06-07",Bali,-19,1,9,-41,-50,19
"2022-06-08",Bali,-13,-1,65,-41,-63,15
"2022-06-09",Bali,-11,0,70,-37,-52,13
"2022-06-10",Bali,-12,3,15,-41,-21,14
"2022-06-11",Bali,-10,5,10,-36,-16,12
"2022-06-12",Bali,-14,0,-2,-37,-9,14
"2022-06-13",Bali,-9,7,6,-30,-18,15
"2022-06-14",Bali,-14,-2,3,-35,-20,15
"2022-06-15",Bali,-7,8,10,-33,-17,14
"2022-06-16",Bali,-11,7,3,-35,-19,15
"2022-06-17",Bali,-18,2,1,-40,-36,19
"2022-06-18",Bali,-19,-10,20,-38,-45,14
"2022-06-19",Bali,-13,1,21,-39,-18,10
"2022-06-20",Bali,-9,7,12,-30,-18,14
"2022-06-21",Bali,-8,3,21,-29,-18,14
"2022-06-22",Bali,-8,4,23,-29,-17,15
"2022-06-23",Bali,-9,1,20,-30,-17,14
"2022-06-24",Bali,-11,-1,9,-35,-16,15
"2022-06-25",Bali,-9,4,2,-28,-12,12
"2022-06-26",Bali,-10,2,7,-33,-8,13
"2022-06-27",Bali,-7,7,19,-26,-17,14
"2022-06-28",Bali,-7,4,27,-24,-20,13
"2022-06-29",Bali,-6,6,23,-24,-19,14
"2022-06-30",Bali,-6,6,23,-25,-15,13
"2022-07-01",Bali,-7,7,10,-32,-13,14
"2022-07-02",Bali,-4,10,5,-25,-12,11
"2022-07-03",Bali,-6,10,12,-32,-8,12
"2022-07-04",Bali,-4,12,21,-23,-16,13
"2022-07-05",Bali,-4,10,26,-24,-18,13
"2022-07-06",Bali,-2,11,19,-28,-16,13
"2022-07-07",Bali,-5,7,18,-31,-15,13
"2022-07-08",Bali,-7,6,10,-37,-13,13
"2022-07-09",Bali,-8,5,5,-38,-25,13
"2022-07-10",Bali,-11,4,0,-41,-13,12
"2022-07-11",Bali,-13,3,-1,-34,-16,14
"2022-07-12",Bali,-9,7,10,-30,-15,12
